Student_ID,Age,Gender,Branch,Year_of_Study,Commute_Mode,Commute_Time_mins,Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Part_Time_Job,Extracurricular_Activities,Peer_Learning,Mentorship_Available,Financial_Status,Previous_Semester_SGPA,Stress_Level,Number_of_KTs,Has_KT,Cleared_in_First_Attempt
MU06082,22,Female,Mechanical Engineering,Final Year,Two-Wheeler,38,93,3.2,5.2,7.0,No,No,Yes,No,Middle Class,6.66,Medium,2,Yes,No
MU06083,24,Male,Mechanical Engineering,Third Year,Two-Wheeler,44,77,3.8,2.5,5.9,No,Yes,Yes,No,Upper Middle Class,6.04,Medium,0,No,Yes
MU06084,21,Male,Information Technology,Final Year,Bus,63,78,3.8,1.8,4.8,Yes,No,No,No,Middle Class,5.91,Low,1,Yes,No
MU06085,18,Male,Electronics & Telecom (EXTC),First Year,Local Train,119,70,4.0,4.2,6.2,No,No,No,No,Middle Class,5.91,Medium,2,Yes,No
MU06086,24,Male,Civil Engineering,Final Year,Two-Wheeler,65,50,3.7,2.2,7.7,No,No,Yes,Yes,Upper Middle Class,4.72,Low,1,Yes,No
MU06087,19,Female,Electronics & Telecom (EXTC),Third Year,Local Train,85,81,2.7,4.2,7.4,No,No,No,No,Middle Class,4.74,Low,1,Yes,No
MU06088,18,Male,Computer Engineering,First Year,Local Train,79,70,2.0,3.3,8.0,Yes,No,Yes,No,Upper Middle Class,5.82,Medium,1,Yes,No
MU06089,22,Female,Computer Engineering,Second Year,Walking,43,90,4.4,2.1,7.3,No,No,Yes,No,Lower Middle Class,6.54,Low,1,Yes,No
MU06090,22,Male,Mechanical Engineering,Third Year,Local Train,141,59,2.0,2.0,7.4,No,Yes,Yes,No,Middle Class,4.59,Medium,3,Yes,No
MU06091,18,Male,Electrical Engineering,First Year,Bus,67,79,3.0,4.7,7.5,No,No,No,No,Middle Class,6.4,Medium,2,Yes,No
MU06092,21,Female,Civil Engineering,Final Year,Local Train,127,67,0.1,3.2,6.7,No,No,Yes,Yes,Middle Class,4.83,Low,0,No,Yes
MU06093,21,Male,Information Technology,Final Year,Local Train,138,89,5.3,2.1,7.1,Yes,No,Yes,No,Middle Class,6.25,Low,0,No,Yes
MU06094,19,Male,Electronics & Telecom (EXTC),Second Year,Bus,55,60,2.3,3.4,5.0,No,No,Yes,No,Upper Middle Class,4.85,High,4,Yes,No
MU06095,23,Male,Computer Engineering,First Year,Bus,79,72,0.2,2.3,5.9,No,No,No,No,Wealthy,5.13,Medium,3,Yes,No
MU06096,19,Female,Artificial Intelligence & Data Science,Final Year,Local Train,95,67,5.0,3.9,6.6,No,Yes,No,No,Upper Middle Class,5.83,Medium,1,Yes,No
MU06097,20,Male,Information Technology,Second Year,Local Train,96,87,2.9,4.1,7.3,No,Yes,Yes,Yes,Wealthy,5.65,Low,0,No,Yes
MU06098,23,Female,Information Technology,First Year,Local Train,114,77,2.9,3.6,7.3,No,Yes,No,No,Upper Middle Class,6.31,Medium,2,Yes,No
MU06099,24,Male,Mechanical Engineering,Second Year,Two-Wheeler,66,42,5.5,2.9,5.7,No,Yes,No,No,Middle Class,4.46,Low,1,Yes,No
MU06100,20,Female,Artificial Intelligence & Data Science,Final Year,Local Train,106,55,2.3,1.8,7.0,Yes,No,Yes,No,Middle Class,5.06,Low,1,Yes,No
MU06101,19,Male,Computer Engineering,Final Year,Walking,29,35,5.1,3.7,5.5,No,No,Yes,No,Middle Class,4.83,Low,2,Yes,No
MU06102,23,Female,Information Technology,Second Year,Local Train,118,80,1.1,2.2,7.0,No,Yes,Yes,No,Middle Class,5.59,Medium,3,Yes,No
MU06103,23,Male,Electronics & Telecom (EXTC),Second Year,Walking,33,28,3.7,2.6,6.9,No,No,No,No,Middle Class,4.17,Low,2,Yes,No
MU06104,20,Female,Mechanical Engineering,Second Year,Bus,72,78,3.5,3.4,7.7,No,No,No,Yes,Upper Middle Class,5.53,Low,0,No,Yes
MU06105,18,Male,Computer Engineering,First Year,Local Train,98,65,4.1,4.1,7.8,No,No,No,Yes,Middle Class,6.09,Medium,3,Yes,No
MU06106,21,Male,Mechanical Engineering,Third Year,Local Train,80,88,1.5,5.8,9.4,No,No,No,No,Middle Class,5.2,Low,1,Yes,No
MU06107,23,Male,Electronics & Telecom (EXTC),First Year,Two-Wheeler,50,56,0.6,2.4,3.9,No,No,Yes,No,Middle Class,4.32,Low,1,Yes,No
MU06108,24,Male,Electrical Engineering,Third Year,Auto/Cab,16,62,6.4,2.7,5.6,No,No,No,No,Upper Middle Class,6.04,Low,1,Yes,No
MU06109,24,Male,Computer Engineering,Third Year,Auto/Cab,21,72,4.5,0.7,6.5,Yes,No,No,Yes,Lower Middle Class,6.77,Low,0,No,Yes
MU06110,23,Female,Computer Engineering,First Year,Local Train,60,53,2.7,3.7,9.3,No,No,Yes,No,Middle Class,,Low,1,Yes,No
MU06111,20,Female,Civil Engineering,Final Year,Local Train,154,69,3.8,1.7,5.6,No,No,Yes,No,Middle Class,5.1,High,4,Yes,No
MU06112,23,Male,Civil Engineering,Second Year,Local Train,58,55,2.1,4.8,6.0,No,No,Yes,Yes,Middle Class,5.39,High,3,Yes,No
MU06113,20,Female,Civil Engineering,First Year,Local Train,108,78,3.1,3.9,6.2,Yes,No,No,No,Middle Class,4.8,High,4,Yes,No
MU06114,18,Male,Civil Engineering,Final Year,Local Train,67,80,1.8,1.7,6.1,No,No,Yes,Yes,Lower Middle Class,6.18,Low,0,No,Yes
MU06115,24,Male,Computer Engineering,First Year,Local Train,50,85,,3.4,6.8,No,No,Yes,No,Upper Middle Class,6.23,Low,0,No,Yes
MU06116,23,Female,Information Technology,First Year,Bus,70,54,1.2,,6.8,No,Yes,No,Yes,Lower Middle Class,4.48,Medium,1,Yes,No
MU06117,22,Female,Information Technology,Second Year,Bus,91,83,5.6,5.3,6.8,No,Yes,No,No,Middle Class,6.17,Low,0,No,Yes
MU06118,19,Other,Artificial Intelligence & Data Science,First Year,Local Train,68,47,2.8,4.2,6.8,No,No,Yes,No,Middle Class,5.8,Medium,3,Yes,No
MU06119,24,Male,Electronics & Telecom (EXTC),Final Year,Local Train,109,51,2.0,2.3,8.1,No,No,No,No,Middle Class,4.49,Medium,3,Yes,No
MU06120,18,Female,Computer Engineering,First Year,Local Train,145,74,1.6,6.1,6.7,No,Yes,No,No,Middle Class,4.5,High,4,Yes,No
MU06121,22,Male,Information Technology,First Year,Two-Wheeler,75,50,5.5,1.8,4.8,No,No,No,No,Lower Middle Class,6.03,High,4,Yes,No
MU06122,24,Male,Artificial Intelligence & Data Science,Final Year,Walking,17,87,3.0,6.1,6.4,No,No,No,Yes,Middle Class,6.35,Low,0,No,Yes
MU06123,18,Male,Electrical Engineering,First Year,Local Train,90,82,5.1,3.6,6.5,No,Yes,No,No,Upper Middle Class,6.24,Low,0,No,Yes
MU06124,21,Other,Artificial Intelligence & Data Science,Final Year,Local Train,95,100,3.3,1.5,8.0,Yes,No,No,No,Upper Middle Class,6.95,Low,2,Yes,No
MU06125,18,Female,Information Technology,Second Year,Local Train,113,63,3.9,2.4,7.5,No,No,No,No,Middle Class,5.42,Low,1,Yes,No
MU06126,18,Female,Mechanical Engineering,First Year,Local Train,86,77,3.3,4.2,7.7,No,Yes,Yes,No,Wealthy,5.83,Low,1,Yes,No
MU06127,21,Male,Information Technology,First Year,Local Train,111,71,1.2,5.5,7.5,No,No,Yes,No,Middle Class,4.73,High,4,Yes,No
MU06128,23,Male,Computer Engineering,Second Year,Local Train,90,68,5.0,,6.8,No,Yes,No,Yes,Middle Class,6.0,Low,0,No,Yes
MU06129,19,Male,Computer Engineering,Second Year,Local Train,69,91,3.5,2.8,5.5,No,Yes,Yes,No,Upper Middle Class,6.17,Low,1,Yes,No
MU06130,22,Male,Computer Engineering,First Year,Bus,70,65,2.1,2.0,6.6,No,Yes,Yes,No,Lower Middle Class,6.61,Low,1,Yes,No
MU06131,24,Male,Mechanical Engineering,Third Year,Local Train,74,70,3.0,2.6,5.4,No,No,Yes,No,Middle Class,6.31,Medium,1,Yes,No
MU06132,20,Female,Artificial Intelligence & Data Science,Second Year,Local Train,62,78,,2.4,3.9,No,Yes,Yes,Yes,Upper Middle Class,6.75,Low,0,No,Yes
MU06133,19,Male,Computer Engineering,Second Year,Bus,61,84,2.4,,6.7,No,No,Yes,No,Lower Middle Class,6.55,Low,0,No,Yes
MU06134,24,Male,Artificial Intelligence & Data Science,Second Year,Two-Wheeler,28,60,1.8,,7.7,No,Yes,Yes,Yes,Middle Class,5.39,Medium,3,Yes,No
MU06135,18,Male,Information Technology,Third Year,Local Train,81,85,1.4,2.2,5.5,No,No,No,No,Middle Class,5.67,Medium,3,Yes,No
MU06136,20,Male,Information Technology,First Year,Local Train,121,80,2.6,3.6,4.8,No,No,Yes,No,Middle Class,6.4,Low,0,No,Yes
MU06137,21,Male,Information Technology,First Year,Two-Wheeler,32,71,4.6,5.9,7.6,No,No,Yes,No,Middle Class,5.17,Low,1,Yes,No
MU06138,19,Female,Information Technology,Final Year,Local Train,55,64,2.1,1.6,7.9,No,Yes,No,Yes,Middle Class,6.28,Low,1,Yes,No
MU06139,23,Female,Information Technology,Second Year,Local Train,109,91,2.2,4.7,6.0,No,No,No,No,Middle Class,4.88,Medium,1,Yes,No
MU06140,22,Female,Mechanical Engineering,First Year,Local Train,124,90,2.6,1.7,4.9,Yes,No,Yes,No,Upper Middle Class,5.94,Low,0,No,Yes
MU06141,19,Male,Civil Engineering,First Year,Two-Wheeler,34,55,2.5,3.2,8.0,No,No,Yes,No,Middle Class,5.66,Low,1,Yes,No
MU06142,19,Male,Electrical Engineering,Second Year,Local Train,132,49,3.4,4.0,5.6,No,No,Yes,No,Middle Class,4.24,High,2,Yes,No
MU06143,23,Male,Information Technology,Final Year,Bus,72,70,2.8,3.6,8.1,No,No,Yes,Yes,Middle Class,5.69,Medium,2,Yes,No
MU06144,20,Female,Civil Engineering,First Year,Local Train,135,52,2.2,4.4,5.7,No,No,No,No,Middle Class,3.4,High,4,Yes,No
MU06145,21,Female,Mechanical Engineering,Second Year,Local Train,63,59,3.2,2.1,7.3,Yes,Yes,Yes,No,Upper Middle Class,6.55,Medium,3,Yes,No
MU06146,23,Male,Artificial Intelligence & Data Science,Second Year,Bus,25,52,4.3,3.5,6.6,No,No,No,No,Middle Class,5.73,Low,0,No,Yes
MU06147,24,Male,Information Technology,Final Year,Bus,71,84,4.0,2.1,6.6,Yes,No,No,No,Wealthy,5.76,Medium,2,Yes,No
MU06148,21,Male,Artificial Intelligence & Data Science,First Year,Local Train,91,58,2.5,3.7,6.7,Yes,Yes,Yes,No,Lower Middle Class,5.59,Low,0,No,Yes
MU06149,23,Female,Civil Engineering,Third Year,Local Train,98,64,3.9,5.0,6.8,Yes,No,Yes,No,Middle Class,6.16,Low,1,Yes,No
MU06150,19,Female,Civil Engineering,First Year,Local Train,104,80,3.0,5.4,7.0,Yes,Yes,No,Yes,Upper Middle Class,5.33,Low,0,No,Yes
MU06151,21,Male,Computer Engineering,Third Year,Local Train,138,87,2.3,,6.0,No,Yes,Yes,Yes,Middle Class,5.9,Low,0,No,Yes
MU06152,20,Male,Electronics & Telecom (EXTC),Third Year,Local Train,72,63,0.3,4.1,8.9,No,No,No,Yes,Lower Middle Class,4.21,Medium,2,Yes,No
MU06153,20,Male,Electronics & Telecom (EXTC),First Year,Two-Wheeler,66,82,3.5,3.9,4.0,No,Yes,Yes,No,Middle Class,5.99,Low,0,No,Yes
MU06154,22,Male,Computer Engineering,Second Year,Bus,50,84,2.8,3.8,7.8,No,No,Yes,No,Lower Middle Class,3.86,Low,1,Yes,No
MU06155,21,Male,Information Technology,Second Year,Local Train,106,54,4.2,5.1,6.8,No,No,No,No,Middle Class,5.17,Medium,2,Yes,No
MU06156,22,Male,Artificial Intelligence & Data Science,Second Year,Local Train,103,85,5.7,0.4,4.8,No,No,Yes,No,Upper Middle Class,6.57,Low,0,No,Yes
MU06157,24,Female,Information Technology,Second Year,Local Train,67,79,1.8,3.6,7.4,No,No,Yes,Yes,Middle Class,5.55,Low,0,No,Yes
MU06158,23,Female,Computer Engineering,First Year,Two-Wheeler,47,53,1.0,3.8,7.2,No,No,No,No,Upper Middle Class,4.01,Medium,2,Yes,No
MU06159,18,Male,Electronics & Telecom (EXTC),First Year,Two-Wheeler,25,73,1.3,1.9,8.1,Yes,No,Yes,No,Middle Class,5.77,Low,1,Yes,No
MU06160,24,Female,Computer Engineering,First Year,Local Train,32,52,3.6,0.0,5.0,No,No,No,No,Upper Middle Class,5.26,Medium,2,Yes,No
MU06161,20,Male,Electronics & Telecom (EXTC),Third Year,Two-Wheeler,55,61,2.5,2.4,8.0,No,No,Yes,No,Lower Middle Class,5.79,High,4,Yes,No
MU06162,19,Male,Electronics & Telecom (EXTC),Second Year,Auto/Cab,30,65,3.2,5.5,6.2,No,No,No,No,Upper Middle Class,4.9,Low,0,No,Yes
MU06163,20,Male,Information Technology,First Year,Auto/Cab,10,83,2.7,7.2,6.0,No,Yes,No,No,Upper Middle Class,5.3,Low,1,Yes,No
MU06164,18,Male,Civil Engineering,Third Year,Auto/Cab,17,73,4.4,0.0,6.7,No,Yes,Yes,Yes,Lower Middle Class,7.45,Low,1,Yes,No
MU06165,19,Male,Computer Engineering,Third Year,Two-Wheeler,23,75,3.0,4.5,8.4,No,Yes,No,No,Middle Class,5.16,Low,1,Yes,No
MU06166,21,Male,Artificial Intelligence & Data Science,Final Year,Local Train,109,61,1.4,3.2,7.5,No,No,Yes,No,Middle Class,4.8,Medium,2,Yes,No
MU06167,21,Male,Artificial Intelligence & Data Science,Final Year,Local Train,123,67,1.8,2.9,6.5,No,No,Yes,No,Middle Class,5.26,Low,1,Yes,No
MU06168,24,Other,Computer Engineering,Third Year,Two-Wheeler,27,48,4.4,1.7,9.6,No,No,No,Yes,Lower Middle Class,5.55,Low,1,Yes,No
MU06169,20,Male,Electrical Engineering,First Year,Local Train,24,77,2.2,3.6,8.0,No,No,No,No,Lower Middle Class,5.14,Low,1,Yes,No
MU06170,19,Male,Electronics & Telecom (EXTC),Third Year,Local Train,105,74,3.9,0.0,7.3,No,No,Yes,Yes,Middle Class,7.08,Medium,1,Yes,No
MU06171,23,Male,Electronics & Telecom (EXTC),Third Year,Local Train,108,83,3.1,4.8,6.7,No,Yes,No,No,Middle Class,5.46,High,2,Yes,No
MU06172,19,Female,Computer Engineering,Final Year,Bus,42,81,4.3,6.6,5.2,No,No,No,No,Upper Middle Class,5.51,Low,1,Yes,No
MU06173,22,Male,Information Technology,Second Year,Local Train,75,38,5.1,2.7,8.9,No,Yes,No,No,Middle Class,5.14,Medium,2,Yes,No
MU06174,18,Female,Artificial Intelligence & Data Science,Third Year,Local Train,66,59,1.9,1.2,9.8,No,No,No,No,Middle Class,4.15,High,4,Yes,No
MU06175,24,Male,Computer Engineering,Third Year,Bus,60,100,4.7,1.3,7.8,Yes,No,Yes,No,Lower Middle Class,7.6,Low,1,Yes,No
MU06176,21,Male,Computer Engineering,Second Year,Auto/Cab,28,71,1.5,2.9,6.2,No,No,No,No,Middle Class,5.81,High,4,Yes,No
MU06177,20,Male,Computer Engineering,Third Year,Local Train,102,92,4.3,1.5,6.3,No,No,Yes,No,Middle Class,5.55,Low,0,No,Yes
MU06178,19,Male,Electronics & Telecom (EXTC),First Year,Bus,71,70,2.3,3.4,5.8,No,No,No,No,Upper Middle Class,4.96,High,4,Yes,No
MU06179,21,Male,Artificial Intelligence & Data Science,Third Year,Local Train,51,64,0.0,4.2,7.5,No,Yes,No,No,Middle Class,4.16,Medium,1,Yes,No
MU06180,20,Male,Electronics & Telecom (EXTC),Third Year,Local Train,73,53,6.1,2.9,6.7,No,No,Yes,No,Middle Class,6.87,Low,0,No,Yes
MU06181,21,Female,Computer Engineering,First Year,Local Train,125,72,2.8,3.3,,No,No,Yes,Yes,Middle Class,5.61,Medium,2,Yes,No
MU06182,20,Male,Information Technology,Final Year,Two-Wheeler,22,62,4.1,4.5,6.9,No,Yes,Yes,No,Upper Middle Class,6.23,High,4,Yes,No
MU06183,21,Male,Information Technology,Final Year,Walking,11,81,,2.9,5.1,No,No,Yes,Yes,Middle Class,7.28,Low,1,Yes,No
MU06184,23,Female,Computer Engineering,First Year,Bus,72,87,4.3,5.5,8.0,No,Yes,No,No,Lower Middle Class,5.4,Medium,1,Yes,No
MU06185,22,Male,Electronics & Telecom (EXTC),First Year,Local Train,35,56,1.9,4.6,8.4,No,Yes,No,Yes,Middle Class,5.88,Low,1,Yes,No
MU06186,18,Female,Computer Engineering,Third Year,Two-Wheeler,25,57,2.3,3.8,8.8,No,Yes,No,No,Middle Class,4.31,Medium,2,Yes,No
MU06187,21,Female,Electrical Engineering,Second Year,Local Train,113,70,3.9,3.5,7.0,No,No,Yes,No,Lower Middle Class,5.28,High,3,Yes,No
MU06188,18,Male,Electronics & Telecom (EXTC),Second Year,Local Train,44,63,2.8,4.0,6.0,Yes,No,Yes,No,Middle Class,5.92,Medium,2,Yes,No
MU06189,21,Male,Electrical Engineering,Final Year,Two-Wheeler,28,68,1.6,5.1,3.8,No,No,Yes,No,Wealthy,5.35,Medium,1,Yes,No
MU06190,24,Male,Artificial Intelligence & Data Science,Final Year,Two-Wheeler,49,71,3.7,3.4,7.5,No,No,Yes,No,Middle Class,5.53,Low,0,No,Yes
MU06191,19,Female,Artificial Intelligence & Data Science,Second Year,Two-Wheeler,23,93,3.5,4.7,6.8,No,No,Yes,No,Middle Class,6.88,Low,1,Yes,No
MU06192,22,Female,Computer Engineering,First Year,Bus,77,80,2.8,4.5,10.0,No,No,No,No,Middle Class,5.89,Medium,2,Yes,No
MU06193,24,Female,Artificial Intelligence & Data Science,Third Year,Two-Wheeler,44,91,2.0,1.2,7.7,Yes,No,Yes,No,Middle Class,5.41,Low,1,Yes,No
MU06194,23,Female,Civil Engineering,Third Year,Local Train,82,56,2.8,5.5,6.4,No,No,No,No,Middle Class,4.11,High,2,Yes,No
MU06195,22,Female,Civil Engineering,Final Year,Local Train,33,79,4.2,3.2,7.2,No,No,Yes,Yes,Wealthy,7.38,Low,1,Yes,No
MU06196,18,Male,Computer Engineering,First Year,Two-Wheeler,40,92,2.5,1.7,7.7,No,Yes,No,No,Wealthy,5.88,Low,0,No,Yes
MU06197,19,Male,Computer Engineering,Third Year,Local Train,42,69,0.6,5.0,9.0,No,No,Yes,No,Upper Middle Class,6.16,Low,2,Yes,No
MU06198,20,Female,Artificial Intelligence & Data Science,Second Year,Local Train,38,70,2.7,3.4,6.9,No,No,No,No,Lower Middle Class,4.71,Low,2,Yes,No
MU06199,24,Male,Computer Engineering,Third Year,Two-Wheeler,45,64,2.9,2.0,6.5,No,Yes,Yes,Yes,Lower Middle Class,6.66,Low,1,Yes,No
MU06200,22,Male,Computer Engineering,First Year,Two-Wheeler,44,74,3.3,4.7,4.5,No,Yes,No,Yes,Lower Middle Class,4.44,High,3,Yes,No
MU06201,23,Female,Information Technology,Final Year,Local Train,29,46,3.2,3.3,6.8,No,No,No,No,Middle Class,4.98,Medium,2,Yes,No
MU06202,24,Male,Artificial Intelligence & Data Science,Third Year,Local Train,81,78,4.0,3.4,6.6,No,No,Yes,No,Upper Middle Class,5.83,Low,1,Yes,No
MU06203,19,Female,Electronics & Telecom (EXTC),Final Year,Two-Wheeler,47,69,2.8,4.1,5.6,No,No,Yes,No,Lower Middle Class,5.64,Low,1,Yes,No
MU06204,19,Female,Artificial Intelligence & Data Science,Second Year,Two-Wheeler,43,45,2.8,0.9,5.5,No,No,No,Yes,Middle Class,4.64,High,2,Yes,No
MU06205,18,Male,Information Technology,Third Year,Two-Wheeler,42,80,3.4,4.1,4.2,No,Yes,No,No,Middle Class,4.97,Low,1,Yes,No
MU06206,23,Female,Computer Engineering,Final Year,Bus,54,88,0.4,4.8,5.0,No,No,Yes,Yes,Middle Class,6.21,Medium,3,Yes,No
MU06207,19,Male,Electronics & Telecom (EXTC),Final Year,Local Train,122,67,2.4,3.7,5.2,No,Yes,No,Yes,Lower Middle Class,4.22,Medium,1,Yes,No
MU06208,19,Male,Mechanical Engineering,Final Year,Local Train,95,71,2.4,3.7,5.3,No,No,Yes,No,Middle Class,5.63,Low,0,No,Yes
MU06209,20,Male,Information Technology,First Year,Local Train,123,49,2.7,5.7,6.5,No,Yes,Yes,No,Upper Middle Class,5.33,High,3,Yes,No
MU06210,18,Male,Information Technology,Second Year,Local Train,91,51,1.3,1.2,7.8,No,No,Yes,No,Middle Class,5.68,Low,0,No,Yes
MU06211,18,Male,Computer Engineering,First Year,Local Train,55,73,3.2,4.4,6.5,No,No,Yes,Yes,Upper Middle Class,5.48,Low,0,No,Yes
MU06212,23,Male,Information Technology,Second Year,Local Train,95,44,2.6,4.0,4.7,No,No,Yes,No,Lower Middle Class,4.04,Medium,2,Yes,No
MU06213,19,Male,Mechanical Engineering,First Year,Local Train,49,59,0.8,1.4,6.1,No,No,No,Yes,Lower Middle Class,4.57,High,4,Yes,No
MU06214,20,Male,Information Technology,Third Year,Local Train,102,50,2.2,3.5,5.9,No,No,No,No,Upper Middle Class,3.96,Medium,2,Yes,No
MU06215,21,Female,Computer Engineering,Final Year,Local Train,147,63,3.1,4.7,8.4,No,Yes,Yes,Yes,Middle Class,5.57,High,3,Yes,No
MU06216,22,Female,Computer Engineering,Third Year,Local Train,91,82,4.6,,6.3,No,Yes,Yes,Yes,Middle Class,6.8,Low,1,Yes,No
MU06217,24,Male,Information Technology,Final Year,Local Train,87,67,5.3,3.3,7.1,Yes,Yes,No,Yes,Middle Class,5.38,Medium,3,Yes,No
MU06218,18,Male,Artificial Intelligence & Data Science,First Year,Local Train,117,83,2.8,2.5,8.0,No,No,No,Yes,Upper Middle Class,6.13,Low,1,Yes,No
MU06219,20,Male,Information Technology,Final Year,Local Train,97,67,4.7,3.7,6.8,Yes,No,No,No,Middle Class,5.78,Low,2,Yes,No
MU06220,23,Male,Computer Engineering,First Year,Bus,107,82,,3.3,7.4,No,No,Yes,Yes,Middle Class,7.02,High,2,Yes,No
MU06221,20,Female,Information Technology,Second Year,Bus,59,62,3.8,4.1,6.5,No,Yes,Yes,No,Lower Middle Class,4.94,High,3,Yes,No
MU06222,19,Female,Mechanical Engineering,Second Year,Two-Wheeler,44,90,1.7,2.5,6.0,No,No,Yes,No,Middle Class,6.34,Low,0,No,Yes
MU06223,22,Male,Electronics & Telecom (EXTC),Final Year,Local Train,121,62,3.9,3.3,6.6,No,No,No,No,Lower Middle Class,4.83,Medium,2,Yes,No
MU06224,18,Male,Information Technology,Final Year,Bus,30,72,2.0,5.0,6.8,Yes,No,Yes,No,Middle Class,6.09,High,2,Yes,No
MU06225,21,Male,Mechanical Engineering,Second Year,Bus,74,45,4.3,5.3,5.7,No,No,No,Yes,Middle Class,4.92,Medium,2,Yes,No
MU06226,19,Female,Mechanical Engineering,First Year,Local Train,76,83,2.7,2.0,6.9,Yes,No,Yes,No,Middle Class,6.16,Medium,2,Yes,No
MU06227,18,Male,Computer Engineering,Third Year,Walking,16,47,2.8,1.6,7.7,No,No,Yes,No,Middle Class,5.16,Low,1,Yes,No
MU06228,24,Other,Computer Engineering,Third Year,Bus,75,83,3.9,0.3,6.0,No,No,Yes,No,Middle Class,5.35,Low,1,Yes,No
MU06229,23,Female,Electronics & Telecom (EXTC),Third Year,Local Train,69,61,5.4,2.9,4.2,No,No,Yes,No,Middle Class,5.63,Low,0,No,Yes
MU06230,18,Male,Mechanical Engineering,First Year,Bus,55,52,3.7,6.1,8.1,No,No,No,Yes,Middle Class,4.85,High,2,Yes,No
MU06231,20,Male,Artificial Intelligence & Data Science,Final Year,Auto/Cab,18,71,5.8,4.3,6.5,No,Yes,Yes,No,Middle Class,7.68,Low,0,No,Yes
MU06232,24,Female,Information Technology,First Year,Walking,19,55,1.7,4.8,6.8,Yes,No,No,Yes,Upper Middle Class,3.84,Medium,3,Yes,No
MU06233,22,Male,Civil Engineering,Second Year,Auto/Cab,13,80,2.3,3.6,8.7,No,No,No,Yes,Middle Class,7.03,Low,1,Yes,No
MU06234,21,Male,Computer Engineering,First Year,Local Train,106,63,2.7,4.5,6.1,No,Yes,Yes,No,Wealthy,5.16,High,3,Yes,No
MU06235,22,Male,Artificial Intelligence & Data Science,Final Year,Local Train,54,68,2.2,2.8,6.2,No,No,Yes,No,Lower Middle Class,5.36,Low,2,Yes,No
MU06236,20,Female,Mechanical Engineering,First Year,Local Train,33,66,4.3,3.8,6.0,No,No,No,No,Upper Middle Class,4.54,Medium,1,Yes,No
MU06237,21,Female,Mechanical Engineering,Third Year,Local Train,81,46,2.2,4.4,8.6,No,No,No,No,Middle Class,3.76,Medium,2,Yes,No
MU06238,21,Female,Computer Engineering,First Year,Local Train,106,74,2.2,5.5,5.9,No,Yes,No,No,Middle Class,4.48,Medium,3,Yes,No
MU06239,19,Female,Computer Engineering,Second Year,Two-Wheeler,48,62,0.9,4.2,4.6,No,No,Yes,No,Middle Class,4.33,Low,3,Yes,No
MU06240,21,Female,Civil Engineering,Final Year,Bus,66,58,3.0,3.5,6.5,No,No,Yes,No,Middle Class,4.7,Low,1,Yes,No
MU06241,18,Female,Computer Engineering,First Year,Bus,53,66,4.7,2.0,7.7,No,No,Yes,No,Upper Middle Class,5.57,Low,1,Yes,No
MU06242,22,Male,Computer Engineering,Final Year,Local Train,102,97,3.9,3.1,5.5,Yes,No,Yes,No,Lower Middle Class,6.42,Low,1,Yes,No
MU06243,23,Male,Computer Engineering,Final Year,Local Train,85,53,6.1,4.2,6.2,No,Yes,No,Yes,Middle Class,5.37,Medium,1,Yes,No
MU06244,23,Female,Computer Engineering,Third Year,Two-Wheeler,38,42,4.6,3.1,8.1,No,No,Yes,No,Upper Middle Class,5.45,Low,0,No,Yes
MU06245,22,Female,Mechanical Engineering,First Year,Local Train,14,80,4.7,2.0,6.9,No,Yes,Yes,No,Upper Middle Class,5.73,Low,0,No,Yes
MU06246,19,Female,Information Technology,Final Year,Bus,51,62,5.9,4.4,4.9,No,No,Yes,No,Upper Middle Class,7.15,Low,0,No,Yes
MU06247,21,Male,Information Technology,Final Year,Local Train,30,60,4.0,3.4,8.5,No,Yes,Yes,No,Middle Class,6.3,Low,2,Yes,No
MU06248,20,Female,Information Technology,Final Year,Local Train,153,59,1.2,2.4,5.0,No,Yes,Yes,No,Middle Class,4.02,Medium,1,Yes,No
MU06249,24,Female,Electrical Engineering,Final Year,Local Train,115,84,3.9,0.2,6.6,No,No,Yes,No,Middle Class,6.88,Low,0,No,Yes
MU06250,24,Male,Artificial Intelligence & Data Science,Second Year,Local Train,125,69,3.8,3.6,8.1,Yes,No,Yes,No,Middle Class,4.61,Medium,2,Yes,No
MU06251,18,Male,Electronics & Telecom (EXTC),Third Year,Bus,49,57,2.7,2.9,6.2,No,No,No,No,Middle Class,5.31,High,3,Yes,No
MU06252,19,Male,Electronics & Telecom (EXTC),Second Year,Local Train,87,70,1.9,7.3,7.4,No,No,Yes,No,Lower Middle Class,4.88,Medium,2,Yes,No
MU06253,24,Male,Information Technology,Second Year,Auto/Cab,10,75,4.0,5.6,9.7,Yes,Yes,Yes,No,Middle Class,6.57,High,4,Yes,No
MU06254,21,Male,Electronics & Telecom (EXTC),Third Year,Bus,36,65,2.7,1.8,5.6,No,No,Yes,No,Middle Class,5.1,High,4,Yes,No
MU06255,23,Male,Civil Engineering,Final Year,Bus,54,73,2.5,5.3,6.8,Yes,No,No,Yes,Lower Middle Class,3.9,Medium,4,Yes,No
MU06256,20,Male,Electronics & Telecom (EXTC),Third Year,Local Train,73,74,6.1,3.6,8.7,No,No,Yes,No,Lower Middle Class,5.94,Low,0,No,Yes
